mean,mean_se,mean_ci_lower,mean_ci_upper,index,district,target,coords
0.0,1732.0516735940646,-3394.758899606692,3394.758899606692,2023-12-03,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0519622690308,-3394.759465399229,3394.759465399229,2023-12-04,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0522509439488,-3394.7600311916717,3394.7600311916717,2023-12-05,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0525396188189,-3394.76059698402,3394.76059698402,2023-12-06,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0528282936407,-3394.761162776274,3394.761162776274,2023-12-07,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0531169684145,-3394.761728568434,3394.761728568434,2023-12-08,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0534056431402,-3394.7622943604997,3394.7622943604997,2023-12-09,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0536943178176,-3394.7628601524707,3394.7628601524707,2023-12-10,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0539829924471,-3394.7634259443475,3394.7634259443475,2023-12-11,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0542716670284,-3394.7639917361303,3394.7639917361303,2023-12-12,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0545603415615,-3394.7645575278184,3394.7645575278184,2023-12-13,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0548490160465,-3394.7651233194124,3394.7651233194124,2023-12-14,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0551376904837,-3394.7656891109123,3394.7656891109123,2023-12-15,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0554263648723,-3394.7662549023175,3394.7662549023175,2023-12-16,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.055715039213,-3394.7668206936282,3394.7668206936282,2023-12-17,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0560037135058,-3394.7673864848452,3394.7673864848452,2023-12-18,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0562923877503,-3394.767952275968,3394.767952275968,2023-12-19,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0565810619466,-3394.768518066996,3394.768518066996,2023-12-20,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.056869736095,-3394.76908385793,3394.76908385793,2023-12-21,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0571584101951,-3394.7696496487697,3394.7696496487697,2023-12-22,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0574470842473,-3394.770215439515,3394.770215439515,2023-12-23,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0577357582513,-3394.7707812301664,3394.7707812301664,2023-12-24,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.058024432207,-3394.7713470207227,3394.7713470207227,2023-12-25,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0583131061148,-3394.7719128111853,3394.7719128111853,2023-12-26,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0586017799744,-3394.7724786015533,3394.7724786015533,2023-12-27,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.058890453786,-3394.7730443918276,3394.7730443918276,2023-12-28,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0591791275492,-3394.7736101820065,3394.7736101820065,2023-12-29,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0594678012646,-3394.774175972092,3394.774175972092,2023-12-30,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0597564749319,-3394.774741762083,3394.774741762083,2023-12-31,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.060045148551,-3394.77530755198,3394.77530755198,2024-01-01,West Jaintia Hills,target,"[25.5463, 91.73]"
0.0,1732.0516735940646,-3394.758899606692,3394.758899606692,2023-12-03,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0519622690308,-3394.759465399229,3394.759465399229,2023-12-04,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0522509439488,-3394.7600311916717,3394.7600311916717,2023-12-05,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0525396188189,-3394.76059698402,3394.76059698402,2023-12-06,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0528282936407,-3394.761162776274,3394.761162776274,2023-12-07,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0531169684145,-3394.761728568434,3394.761728568434,2023-12-08,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0534056431402,-3394.7622943604997,3394.7622943604997,2023-12-09,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0536943178176,-3394.7628601524707,3394.7628601524707,2023-12-10,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0539829924471,-3394.7634259443475,3394.7634259443475,2023-12-11,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0542716670284,-3394.7639917361303,3394.7639917361303,2023-12-12,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0545603415615,-3394.7645575278184,3394.7645575278184,2023-12-13,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0548490160465,-3394.7651233194124,3394.7651233194124,2023-12-14,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0551376904837,-3394.7656891109123,3394.7656891109123,2023-12-15,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0554263648723,-3394.7662549023175,3394.7662549023175,2023-12-16,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.055715039213,-3394.7668206936282,3394.7668206936282,2023-12-17,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0560037135058,-3394.7673864848452,3394.7673864848452,2023-12-18,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0562923877503,-3394.767952275968,3394.767952275968,2023-12-19,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0565810619466,-3394.768518066996,3394.768518066996,2023-12-20,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.056869736095,-3394.76908385793,3394.76908385793,2023-12-21,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0571584101951,-3394.7696496487697,3394.7696496487697,2023-12-22,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0574470842473,-3394.770215439515,3394.770215439515,2023-12-23,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0577357582513,-3394.7707812301664,3394.7707812301664,2023-12-24,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.058024432207,-3394.7713470207227,3394.7713470207227,2023-12-25,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0583131061148,-3394.7719128111853,3394.7719128111853,2023-12-26,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0586017799744,-3394.7724786015533,3394.7724786015533,2023-12-27,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.058890453786,-3394.7730443918276,3394.7730443918276,2023-12-28,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0591791275492,-3394.7736101820065,3394.7736101820065,2023-12-29,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0594678012646,-3394.774175972092,3394.774175972092,2023-12-30,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0597564749319,-3394.774741762083,3394.774741762083,2023-12-31,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.060045148551,-3394.77530755198,3394.77530755198,2024-01-01,East Jaintia Hills,target,"[25.6301, 92.8251]"
0.0,1732.0516735940646,-3394.758899606692,3394.758899606692,2023-12-03,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0519622690308,-3394.759465399229,3394.759465399229,2023-12-04,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0522509439488,-3394.7600311916717,3394.7600311916717,2023-12-05,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0525396188189,-3394.76059698402,3394.76059698402,2023-12-06,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0528282936407,-3394.761162776274,3394.761162776274,2023-12-07,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0531169684145,-3394.761728568434,3394.761728568434,2023-12-08,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0534056431402,-3394.7622943604997,3394.7622943604997,2023-12-09,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0536943178176,-3394.7628601524707,3394.7628601524707,2023-12-10,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0539829924471,-3394.7634259443475,3394.7634259443475,2023-12-11,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0542716670284,-3394.7639917361303,3394.7639917361303,2023-12-12,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0545603415615,-3394.7645575278184,3394.7645575278184,2023-12-13,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0548490160465,-3394.7651233194124,3394.7651233194124,2023-12-14,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0551376904837,-3394.7656891109123,3394.7656891109123,2023-12-15,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0554263648723,-3394.7662549023175,3394.7662549023175,2023-12-16,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.055715039213,-3394.7668206936282,3394.7668206936282,2023-12-17,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0560037135058,-3394.7673864848452,3394.7673864848452,2023-12-18,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0562923877503,-3394.767952275968,3394.767952275968,2023-12-19,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0565810619466,-3394.768518066996,3394.768518066996,2023-12-20,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.056869736095,-3394.76908385793,3394.76908385793,2023-12-21,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0571584101951,-3394.7696496487697,3394.7696496487697,2023-12-22,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0574470842473,-3394.770215439515,3394.770215439515,2023-12-23,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0577357582513,-3394.7707812301664,3394.7707812301664,2023-12-24,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.058024432207,-3394.7713470207227,3394.7713470207227,2023-12-25,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0583131061148,-3394.7719128111853,3394.7719128111853,2023-12-26,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0586017799744,-3394.7724786015533,3394.7724786015533,2023-12-27,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.058890453786,-3394.7730443918276,3394.7730443918276,2023-12-28,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0591791275492,-3394.7736101820065,3394.7736101820065,2023-12-29,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0594678012646,-3394.774175972092,3394.774175972092,2023-12-30,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0597564749319,-3394.774741762083,3394.774741762083,2023-12-31,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.060045148551,-3394.77530755198,3394.77530755198,2024-01-01,Imphal West,target,"[24.817, 93.9368]"
0.0,1732.0516735940646,-3394.758899606692,3394.758899606692,2023-12-03,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0519622690308,-3394.759465399229,3394.759465399229,2023-12-04,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0522509439488,-3394.7600311916717,3394.7600311916717,2023-12-05,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0525396188189,-3394.76059698402,3394.76059698402,2023-12-06,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0528282936407,-3394.761162776274,3394.761162776274,2023-12-07,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0531169684145,-3394.761728568434,3394.761728568434,2023-12-08,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0534056431402,-3394.7622943604997,3394.7622943604997,2023-12-09,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0536943178176,-3394.7628601524707,3394.7628601524707,2023-12-10,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0539829924471,-3394.7634259443475,3394.7634259443475,2023-12-11,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0542716670284,-3394.7639917361303,3394.7639917361303,2023-12-12,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0545603415615,-3394.7645575278184,3394.7645575278184,2023-12-13,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0548490160465,-3394.7651233194124,3394.7651233194124,2023-12-14,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0551376904837,-3394.7656891109123,3394.7656891109123,2023-12-15,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0554263648723,-3394.7662549023175,3394.7662549023175,2023-12-16,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.055715039213,-3394.7668206936282,3394.7668206936282,2023-12-17,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0560037135058,-3394.7673864848452,3394.7673864848452,2023-12-18,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0562923877503,-3394.767952275968,3394.767952275968,2023-12-19,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0565810619466,-3394.768518066996,3394.768518066996,2023-12-20,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.056869736095,-3394.76908385793,3394.76908385793,2023-12-21,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0571584101951,-3394.7696496487697,3394.7696496487697,2023-12-22,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0574470842473,-3394.770215439515,3394.770215439515,2023-12-23,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0577357582513,-3394.7707812301664,3394.7707812301664,2023-12-24,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.058024432207,-3394.7713470207227,3394.7713470207227,2023-12-25,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0583131061148,-3394.7719128111853,3394.7719128111853,2023-12-26,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0586017799744,-3394.7724786015533,3394.7724786015533,2023-12-27,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.058890453786,-3394.7730443918276,3394.7730443918276,2023-12-28,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0591791275492,-3394.7736101820065,3394.7736101820065,2023-12-29,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0594678012646,-3394.774175972092,3394.774175972092,2023-12-30,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0597564749319,-3394.774741762083,3394.774741762083,2023-12-31,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.060045148551,-3394.77530755198,3394.77530755198,2024-01-01,Bishnupur,target,"[24.6032, 93.9494]"
0.0,1732.0516735940646,-3394.758899606692,3394.758899606692,2023-12-03,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0519622690308,-3394.759465399229,3394.759465399229,2023-12-04,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0522509439488,-3394.7600311916717,3394.7600311916717,2023-12-05,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0525396188189,-3394.76059698402,3394.76059698402,2023-12-06,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0528282936407,-3394.761162776274,3394.761162776274,2023-12-07,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0531169684145,-3394.761728568434,3394.761728568434,2023-12-08,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0534056431402,-3394.7622943604997,3394.7622943604997,2023-12-09,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0536943178176,-3394.7628601524707,3394.7628601524707,2023-12-10,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0539829924471,-3394.7634259443475,3394.7634259443475,2023-12-11,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0542716670284,-3394.7639917361303,3394.7639917361303,2023-12-12,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0545603415615,-3394.7645575278184,3394.7645575278184,2023-12-13,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0548490160465,-3394.7651233194124,3394.7651233194124,2023-12-14,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0551376904837,-3394.7656891109123,3394.7656891109123,2023-12-15,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0554263648723,-3394.7662549023175,3394.7662549023175,2023-12-16,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.055715039213,-3394.7668206936282,3394.7668206936282,2023-12-17,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0560037135058,-3394.7673864848452,3394.7673864848452,2023-12-18,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0562923877503,-3394.767952275968,3394.767952275968,2023-12-19,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0565810619466,-3394.768518066996,3394.768518066996,2023-12-20,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.056869736095,-3394.76908385793,3394.76908385793,2023-12-21,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0571584101951,-3394.7696496487697,3394.7696496487697,2023-12-22,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0574470842473,-3394.770215439515,3394.770215439515,2023-12-23,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0577357582513,-3394.7707812301664,3394.7707812301664,2023-12-24,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.058024432207,-3394.7713470207227,3394.7713470207227,2023-12-25,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0583131061148,-3394.7719128111853,3394.7719128111853,2023-12-26,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0586017799744,-3394.7724786015533,3394.7724786015533,2023-12-27,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.058890453786,-3394.7730443918276,3394.7730443918276,2023-12-28,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0591791275492,-3394.7736101820065,3394.7736101820065,2023-12-29,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0594678012646,-3394.774175972092,3394.774175972092,2023-12-30,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0597564749319,-3394.774741762083,3394.774741762083,2023-12-31,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.060045148551,-3394.77530755198,3394.77530755198,2024-01-01,Imphal East,target,"[24.8057, 94.0464]"
0.0,1732.0516735940646,-3394.758899606692,3394.758899606692,2023-12-03,Thoubal,target,"[24.6137, 93.9241]"
0.0,1732.0519622690308,-3394.759465399229,3394.759465399229,2023-12-04,Thoubal,target,"[24.6137, 93.9241]"
0.0,1732.0522509439488,-3394.7600311916717,3394.7600311916717,2023-12-05,Thoubal,target,"[24.6137, 93.9241]"
0.0,1732.0525396188189,-3394.76059698402,3394.76059698402,2023-12-06,Thoubal,target,"[24.6137, 93.9241]"
0.0,1732.0528282936407,-3394.761162776274,3394.761162776274,2023-12-07,Thoubal,target,"[24.6137, 93.9241]"
0.0,1732.0531169684145,-3394.761728568434,3394.761728568434,2023-12-08,Thoubal,target,"[24.6137, 93.9241]"
0.0,1732.0534056431402,-3394.7622943604997,3394.7622943604997,2023-12-09,Thoubal,target,"[24.6137, 93.9241]"
0.0,1732.0536943178176,-3394.7628601524707,3394.7628601524707,2023-12-10,Thoubal,target,"[24.6137, 93.9241]"
0.0,1732.0539829924471,-3394.7634259443475,3394.7634259443475,2023-12-11,Thoubal,target,"[24.6137, 93.9241]"
0.0,1732.0542716670284,-3394.7639917361303,3394.7639917361303,2023-12-12,Thoubal,target,"[24.6137, 93.9241]"
0.0,1732.0545603415615,-3394.7645575278184,3394.7645575278184,2023-12-13,Thoubal,target,"[24.6137, 93.9241]"
0.0,1732.0548490160465,-3394.7651233194124,3394.7651233194124,2023-12-14,Thoubal,target,"[24.6137, 93.9241]"
0.0,1732.0551376904837,-3394.7656891109123,3394.7656891109123,2023-12-15,Thoubal,target,"[24.6137, 93.9241]"
0.0,1732.0554263648723,-3394.7662549023175,3394.7662549023175,2023-12-16,Thoubal,target,"[24.6137, 93.9241]"
